order_date,market,region,product_category,product,cost,inventory,net_profit,sales
2010-01-01,Retail,Central,Espresso,Decaf Espresso,46,777,45,114
2010-01-01,Retail,Central,Herbal tea,Chamomile,37,261,-11,90
2010-01-01,Retail,Central,Herbal tea,Lemon,88,525,-39,99
2010-01-01,Retail,Central,Tea,Darjeeling,35,196,9,82
2010-01-01,Retail,Central,Tea,Earl Grey,29,169,-9,65
2010-01-01,Wholesale,Central,Coffee,Amaretto,60,336,34,140
2010-01-01,Wholesale,Central,Coffee,Columbian,57,364,42,140
2010-01-01,Wholesale,Central,Coffee,Decaf Irish Cream,63,435,0,150
2010-01-01,Wholesale,Central,Tea,Earl Grey,84,500,67,200
2010-01-01,Wholesale,Central,Espresso,Decaf Espresso,58,338,16,130
2010-01-01,Wholesale,Central,Espresso,Caffe Mocha,170,1091,99,341
2010-01-01,Wholesale,Central,Herbal tea,Chamomile,32,456,29,80
2010-01-01,Wholesale,Central,Herbal tea,Lemon,32,821,29,80
2010-01-01,Wholesale,Central,Tea,Darjeeling,84,651,68,210
2010-01-01,Retail,Central,Coffee,Amaretto,54,312,13,120
2010-01-01,Retail,Central,Coffee,Columbian,79,551,9,190
2010-01-01,Retail,Central,Coffee,Decaf Irish Cream,77,432,51,180
2010-01-01,Retail,Central,Tea,Earl Grey,75,522,7,180
2010-01-01,Retail,Central,Espresso,Decaf Espresso,48,623,34,110
2010-01-01,Retail,Central,Espresso,Caffe Mocha,69,965,38,150
2010-01-01,Retail,Central,Herbal tea,Chamomile,67,400,70,180
2010-01-01,Retail,Central,Herbal tea,Lemon,33,777,28,81
2010-01-01,Retail,Central,Tea,Darjeeling,61,390,47,150
2010-01-01,Retail,East,Tea,Darjeeling,50,821,47,123
2010-01-01,Retail,East,Tea,Green Tea,38,777,35,94
2010-01-01,Retail,East,Espresso,Decaf Espresso,55,312,30,130
2010-01-01,Retail,East,Espresso,Caffe Mocha,75,522,7,180
2010-01-01,Retail,East,Coffee,Columbian,124,961,115,310
2010-01-01,Retail,East,Herbal tea,Lemon,85,494,40,190
2010-01-01,Retail,East,Herbal tea,Mint,78,965,47,170
2010-01-01,Wholesale,East,Tea,Darjeeling,32,821,28,80
2010-01-01,Wholesale,East,Tea,Green Tea,33,777,28,81
2010-01-01,Wholesale,East,Espresso,Decaf Espresso,77,432,50,180
2010-01-01,Wholesale,East,Espresso,Caffe Mocha,79,551,9,190
2010-01-01,Wholesale,East,Coffee,Decaf Irish Cream,84,500,67,200
2010-01-01,Wholesale,East,Coffee,Columbian,84,651,68,210
2010-01-01,Wholesale,East,Herbal tea,Chamomile,48,623,34,110
2010-01-01,Wholesale,East,Herbal tea,Lemon,54,312,13,120
2010-01-01,Wholesale,East,Herbal tea,Mint,69,965,39,150
2010-01-01,Wholesale,East,Tea,Darjeeling,32,821,29,80
2010-01-01,Wholesale,East,Tea,Green Tea,32,456,29,80
2010-01-01,Wholesale,East,Espresso,Regular Espresso,170,1091,100,341
2010-01-01,Wholesale,East,Espresso,Caffe Mocha,63,435,-23,126
2010-01-01,Wholesale,East,Coffee,Columbian,72,558,367,494
2010-01-01,Wholesale,East,Herbal tea,Lemon,58,338,17,130
2010-01-01,Retail,East,Tea,Darjeeling,18,821,10,45
2010-01-01,Retail,East,Tea,Green Tea,17,777,11,43
2010-01-01,Retail,East,Espresso,Regular Espresso,29,169,-8,65
2010-01-01,Retail,East,Espresso,Caffe Mocha,37,261,-10,90
2010-01-01,Retail,East,Coffee,Amaretto,38,241,20,93
2010-01-01,Retail,East,Coffee,Columbian,48,372,25,120
2010-01-01,Retail,East,Herbal tea,Lemon,34,197,-4,76
2010-01-01,Wholesale,East,Tea,Darjeeling,95,821,101,234
2010-01-01,Wholesale,East,Tea,Earl Grey,89,777,94,219
2010-01-01,Wholesale,East,Tea,Green Tea,54,456,54,134
2010-01-01,Wholesale,East,Espresso,Regular Espresso,228,1459,175,490
2010-01-01,Wholesale,East,Espresso,Caffe Mocha,105,725,-172,61
2010-01-01,Wholesale,East,Coffee,Columbian,271,2101,262,678
2010-01-01,Wholesale,East,Herbal tea,Lemon,245,1419,111,483
2010-01-01,Wholesale,East,Herbal tea,Mint,207,965,-113,180
2010-01-01,Retail,South,Espresso,Caffe Mocha,67,400,70,180
2010-01-01,Retail,South,Espresso,Decaf Espresso,61,390,48,150
2010-01-01,Retail,South,Herbal tea,Chamomile,49,623,35,112
2010-01-01,Retail,South,Herbal tea,Lemon,85,494,40,190
2010-01-01,Retail,South,Espresso,Caffe Latte,75,522,8,180
2010-01-01,Retail,South,Coffee,Columbian,34,777,30,85
2010-01-01,Retail,South,Coffee,Decaf Irish Cream,33,777,28,81
2010-01-01,Retail,South,Espresso,Caffe Mocha,37,261,-10,90
2010-01-01,Retail,South,Espresso,Decaf Espresso,35,196,9,82
2010-01-01,Retail,South,Herbal tea,Chamomile,18,821,11,45
2010-01-01,Retail,South,Herbal tea,Lemon,28,965,4,62
2010-01-01,Retail,South,Espresso,Caffe Latte,29,169,-8,65
2010-01-01,Retail,South,Coffee,Columbian,48,372,26,120
2010-01-01,Retail,South,Coffee,Decaf Irish Cream,88,525,-39,99
2010-01-01,Retail,South,Espresso,Caffe Mocha,32,456,28,80
2010-01-01,Retail,South,Espresso,Decaf Espresso,84,651,67,210
2010-01-01,Retail,South,Herbal tea,Chamomile,54,312,13,120
2010-01-01,Retail,South,Herbal tea,Lemon,79,551,10,190
2010-01-01,Retail,South,Espresso,Caffe Latte,84,500,66,200
2010-01-01,Retail,South,Coffee,Columbian,44,623,29,100
2010-01-01,Retail,South,Coffee,Decaf Irish Cream,32,821,28,80
2010-01-01,Wholesale,South,Espresso,Caffe Mocha,89,777,95,219
2010-01-01,Wholesale,South,Espresso,Decaf Espresso,54,456,54,134
2010-01-01,Wholesale,South,Herbal tea,Chamomile,60,336,33,140
2010-01-01,Wholesale,South,Herbal tea,Lemon,57,364,42,140
2010-01-01,Wholesale,South,Espresso,Caffe Latte,72,558,53,180
2010-01-01,Wholesale,South,Coffee,Columbian,207,965,159,452
2010-01-01,Wholesale,South,Coffee,Decaf Irish Cream,83,623,68,190
2010-01-01,Retail,West,Espresso,Caffe Latte,46,777,44,114
2010-01-01,Retail,West,Espresso,Caffe Mocha,49,623,34,112
2010-01-01,Retail,West,Espresso,Decaf Espresso,50,821,47,123
2010-01-01,Retail,West,Herbal tea,Chamomile,38,241,21,93
2010-01-01,Retail,West,Herbal tea,Lemon,48,372,25,120
2010-01-01,Retail,West,Herbal tea,Mint,88,525,-40,99
2010-01-01,Retail,West,Tea,Darjeeling,37,261,-10,90
2010-01-01,Retail,West,Tea,Earl Grey,35,196,9,82
2010-01-01,Retail,West,Tea,Green Tea,29,169,-9,65
2010-01-01,Retail,West,Coffee,Amaretto,78,965,47,170
2010-01-01,Retail,West,Coffee,Columbian,55,312,30,130
2010-01-01,Retail,West,Coffee,Decaf Irish Cream,85,494,39,190
2010-01-01,Wholesale,West,Espresso,Caffe Latte,228,1459,140,456
2010-01-01,Wholesale,West,Espresso,Caffe Mocha,105,725,17,250
2010-01-01,Wholesale,West,Espresso,Decaf Espresso,234,1310,203,546
2010-01-01,Wholesale,West,Herbal tea,Chamomile,95,821,102,234
2010-01-01,Wholesale,West,Herbal tea,Lemon,207,965,160,452
2010-01-01,Wholesale,West,Herbal tea,Mint,83,623,67,190
2010-01-01,Wholesale,West,Tea,Darjeeling,89,777,94,219
2010-01-01,Wholesale,West,Tea,Earl Grey,54,456,54,134
2010-01-01,Wholesale,West,Tea,Green Tea,72,558,54,180
2010-01-01,Wholesale,West,Coffee,Amaretto,95,608,-2,145
2010-01-01,Wholesale,West,Coffee,Columbian,271,2101,262,678
2010-01-01,Wholesale,West,Coffee,Decaf Irish Cream,144,862,-117,118
2010-01-01,Retail,West,Espresso,Caffe Latte,17,777,11,43
2010-01-01,Retail,West,Espresso,Caffe Mocha,18,821,10,45
2010-01-01,Retail,West,Espresso,Decaf Espresso,17,777,11,43
2010-01-01,Retail,West,Coffee,Decaf Irish Cream,28,965,4,62
2010-01-01,Retail,West,Herbal tea,Chamomile,105,725,16,250
2010-01-01,Retail,West,Herbal tea,Lemon,144,862,111,345
2010-01-01,Retail,West,Herbal tea,Mint,95,608,86,234
2010-01-01,Retail,West,Tea,Darjeeling,234,1310,203,546
2010-01-01,Retail,West,Tea,Earl Grey,228,1459,141,456
2010-01-01,Retail,West,Tea,Green Tea,245,1419,-354,17
2010-01-01,Retail,West,Coffee,Columbian,34,197,-3,76
2010-01-01,Retail,West,Espresso,Caffe Latte,58,338,16,130
2010-01-01,Retail,West,Espresso,Caffe Mocha,60,336,33,140
2010-01-01,Retail,West,Espresso,Decaf Espresso,170,1091,99,341
2010-01-01,Retail,West,Coffee,Decaf Irish Cream,57,364,42,140
2010-01-01,Retail,West,Herbal tea,Chamomile,36,777,33,90
2010-01-01,Retail,West,Herbal tea,Lemon,44,623,29,100
2010-01-01,Retail,West,Tea,Darjeeling,32,456,28,80
2010-01-01,Retail,West,Tea,Earl Grey,84,651,68,210
2010-01-01,Retail,West,Tea,Green Tea,84,500,67,200
2010-01-01,Retail,West,Coffee,Amaretto,63,435,1,150
2010-01-01,Retail,West,Coffee,Columbian,67,400,28,160
2010-01-01,Retail,West,Espresso,Caffe Latte,48,623,35,110
2010-01-01,Retail,West,Espresso,Caffe Mocha,54,312,13,120
2010-01-01,Retail,West,Espresso,Decaf Espresso,69,965,39,150
2010-01-01,Retail,West,Coffee,Decaf Irish Cream,79,551,9,190
2010-01-01,Retail,West,Herbal tea,Chamomile,124,961,115,310
2010-01-01,Retail,West,Herbal tea,Lemon,34,777,30,85
2010-01-01,Retail,West,Tea,Darjeeling,67,400,70,180
2010-01-01,Retail,West,Tea,Earl Grey,61,390,48,150
2010-01-01,Retail,West,Tea,Green Tea,75,522,8,180
2010-01-01,Retail,West,Coffee,Columbian,53,338,38,130
2010-02-01,Wholesale,Central,Coffee,Amaretto,99,766,105,243
2010-02-01,Wholesale,Central,Coffee,Columbian,83,613,68,190
2010-02-01,Wholesale,Central,Coffee,Decaf Irish Cream,95,809,99,232
2010-02-01,Wholesale,Central,Tea,Green Tea,44,618,30,100
2010-02-01,Wholesale,Central,Espresso,Caffe Mocha,77,449,80,189
2010-02-01,Wholesale,Central,Espresso,Decaf Espresso,75,549,59,189
2010-02-01,Wholesale,Central,Herbal tea,Chamomile,170,1073,99,340
2010-02-01,Wholesale,Central,Herbal tea,Lemon,54,427,-3,129
2010-02-01,Wholesale,Central,Herbal tea,Mint,60,329,33,140
2010-02-01,Wholesale,Central,Tea,Darjeeling,59,331,18,132
2010-02-01,Wholesale,Central,Tea,Earl Grey,62,958,34,136
2010-02-01,Wholesale,Central,Coffee,Columbian,148,844,115,354
2010-02-01,Wholesale,Central,Coffee,Decaf Irish Cream,104,596,95,254
2010-02-01,Wholesale,Central,Espresso,Caffe Mocha,234,1282,201,545
2010-02-01,Wholesale,Central,Espresso,Decaf Espresso,228,1436,142,457
2010-02-01,Wholesale,Central,Herbal tea,Chamomile,99,766,105,243
2010-02-01,Wholesale,Central,Herbal tea,Lemon,83,613,68,190
2010-02-01,Wholesale,Central,Herbal tea,Mint,95,809,99,232
2010-02-01,Wholesale,Central,Tea,Darjeeling,77,449,79,189
2010-02-01,Wholesale,Central,Tea,Earl Grey,75,549,59,189
2010-02-01,Retail,Central,Coffee,Amaretto,18,818,10,45
2010-02-01,Retail,Central,Coffee,Columbian,28,961,6,63
2010-02-01,Retail,Central,Coffee,Decaf Irish Cream,23,620,12,54
2010-02-01,Retail,Central,Espresso,Caffe Mocha,19,774,11,47
2010-02-01,Retail,Central,Espresso,Decaf Espresso,0,774,32,43
2010-02-01,Retail,Central,Herbal tea,Chamomile,234,1282,201,545
2010-02-01,Retail,Central,Herbal tea,Lemon,104,596,95,254
2010-02-01,Retail,Central,Tea,Darjeeling,228,1436,141,457
2010-02-01,Retail,Central,Tea,Earl Grey,240,1391,169,534
2010-02-01,Retail,Central,Coffee,Columbian,86,484,42,193
2010-02-01,Retail,Central,Coffee,Decaf Irish Cream,75,956,46,165
2010-02-01,Retail,Central,Tea,Green Tea,33,193,-4,74
2010-02-01,Retail,Central,Espresso,Caffe Mocha,50,814,48,123
2010-02-01,Retail,Central,Espresso,Decaf Espresso,42,771,38,103
2010-02-01,Retail,Central,Herbal tea,Chamomile,43,256,-8,104
2010-02-01,Retail,Central,Herbal tea,Lemon,84,625,-32,102
2010-02-01,Retail,Central,Tea,Darjeeling,35,191,9,82
2010-02-01,Retail,Central,Tea,Earl Grey,30,165,-7,68
2010-02-01,Wholesale,Central,Coffee,Amaretto,60,329,33,140
2010-02-01,Wholesale,Central,Coffee,Columbian,52,357,38,128
2010-02-01,Wholesale,Central,Coffee,Decaf Irish Cream,54,427,-3,129
2010-02-01,Wholesale,Central,Tea,Darjeeling,80,640,62,200
2010-02-01,Wholesale,Central,Tea,Earl Grey,86,490,71,206
2010-02-01,Wholesale,Central,Espresso,Decaf Espresso,59,331,18,132
2010-02-01,Wholesale,Central,Espresso,Caffe Mocha,170,1073,98,340
2010-02-01,Wholesale,Central,Herbal tea,Chamomile,22,452,17,56
2010-02-01,Wholesale,Central,Herbal tea,Lemon,32,817,28,80
2010-02-01,Retail,Central,Coffee,Amaretto,53,306,12,118
2010-02-01,Retail,Central,Coffee,Columbian,92,541,15,220
2010-02-01,Retail,Central,Coffee,Decaf Irish Cream,77,423,50,180
2010-02-01,Retail,Central,Tea,Darjeeling,56,382,41,137
2010-02-01,Retail,Central,Tea,Earl Grey,65,513,3,155
2010-02-01,Retail,Central,Espresso,Decaf Espresso,48,617,35,110
2010-02-01,Retail,Central,Espresso,Caffe Mocha,70,957,42,154
2010-02-01,Retail,Central,Herbal tea,Chamomile,65,372,66,174
2010-02-01,Retail,Central,Herbal tea,Lemon,47,772,43,115
2010-02-01,Retail,East,Tea,Darjeeling,50,814,48,123
2010-02-01,Retail,East,Tea,Green Tea,27,772,21,66
2010-02-01,Retail,East,Espresso,Decaf Espresso,55,305,29,130
2010-02-01,Retail,East,Espresso,Caffe Mocha,65,513,3,155
2010-02-01,Retail,East,Coffee,Columbian,130,945,121,325
2010-02-01,Retail,East,Herbal tea,Lemon,86,484,41,193
2010-02-01,Retail,East,Herbal tea,Mint,75,956,46,165
2010-02-01,Wholesale,East,Tea,Darjeeling,32,817,28,80
2010-02-01,Wholesale,East,Tea,Green Tea,47,772,44,115
2010-02-01,Wholesale,East,Espresso,Decaf Espresso,77,423,51,180
2010-02-01,Wholesale,East,Espresso,Caffe Mocha,92,541,16,220
2010-02-01,Wholesale,East,Coffee,Decaf Irish Cream,86,490,71,206
2010-02-01,Wholesale,East,Coffee,Columbian,80,640,63,200
2010-02-01,Wholesale,East,Herbal tea,Chamomile,48,617,34,110
2010-02-01,Wholesale,East,Herbal tea,Lemon,53,306,12,118
2010-02-01,Wholesale,East,Herbal tea,Mint,70,957,42,154
2010-02-01,Wholesale,East,Tea,Darjeeling,32,817,28,80
2010-02-01,Wholesale,East,Tea,Green Tea,22,452,17,56
2010-02-01,Wholesale,East,Espresso,Regular Espresso,170,1073,99,340
2010-02-01,Wholesale,East,Espresso,Caffe Mocha,54,451,-4,128
2010-02-01,Wholesale,East,Coffee,Columbian,75,235,340,470
2010-02-01,Wholesale,East,Herbal tea,Lemon,59,331,18,132
2010-02-01,Retail,East,Tea,Darjeeling,18,818,11,45
2010-02-01,Retail,East,Tea,Green Tea,0,774,32,43
2010-02-01,Retail,East,Espresso,Regular Espresso,30,165,-6,68
2010-02-01,Retail,East,Espresso,Caffe Mocha,43,256,-7,104
2010-02-01,Retail,East,Coffee,Amaretto,41,236,25,101
2010-02-01,Retail,East,Coffee,Columbian,45,366,23,114
2010-02-01,Retail,East,Herbal tea,Lemon,33,193,-4,74
2010-02-01,Wholesale,East,Tea,Darjeeling,95,809,100,232
2010-02-01,Wholesale,East,Tea,Earl Grey,99,766,105,243
2010-02-01,Wholesale,East,Tea,Green Tea,77,449,79,189
2010-02-01,Wholesale,East,Espresso,Regular Espresso,228,1402,264,580
2010-02-01,Wholesale,East,Espresso,Caffe Mocha,121,901,-203,61
2010-02-01,Wholesale,East,Coffee,Columbian,258,2067,245,645
2010-02-01,Wholesale,East,Herbal tea,Lemon,240,1454,131,495
2010-02-01,Wholesale,East,Herbal tea,Mint,213,1214,-120,180
2010-02-01,Retail,South,Espresso,Caffe Mocha,65,372,65,174
2010-02-01,Retail,South,Espresso,Decaf Espresso,56,382,41,137
2010-02-01,Retail,South,Herbal tea,Chamomile,49,617,35,112
2010-02-01,Retail,South,Herbal tea,Lemon,86,484,42,193
2010-02-01,Retail,South,Espresso,Caffe Latte,65,342,2,155
2010-02-01,Retail,South,Coffee,Columbian,38,772,34,94
2010-02-01,Retail,South,Coffee,Decaf Irish Cream,47,772,44,115
2010-02-01,Retail,South,Espresso,Caffe Mocha,43,256,-7,104
2010-02-01,Retail,South,Espresso,Decaf Espresso,35,191,8,82
2010-02-01,Retail,South,Herbal tea,Chamomile,18,818,10,45
2010-02-01,Retail,South,Herbal tea,Lemon,28,961,5,63
2010-02-01,Retail,South,Espresso,Caffe Latte,30,104,-7,68
2010-02-01,Retail,South,Coffee,Columbian,45,366,24,114
2010-02-01,Retail,South,Coffee,Decaf Irish Cream,84,625,-31,102
2010-02-01,Retail,South,Espresso,Caffe Latte,86,300,70,206
2010-02-01,Retail,South,Espresso,Caffe Mocha,22,452,17,56
2010-02-01,Retail,South,Espresso,Decaf Espresso,80,640,63,200
2010-02-01,Retail,South,Herbal tea,Chamomile,53,306,11,118
2010-02-01,Retail,South,Herbal tea,Lemon,92,541,15,220
2010-02-01,Retail,South,Coffee,Columbian,44,618,29,100
2010-02-01,Retail,South,Coffee,Decaf Irish Cream,32,817,29,80
2010-02-01,Wholesale,South,Espresso,Caffe Latte,75,378,58,189
2010-02-01,Wholesale,South,Espresso,Caffe Mocha,99,766,106,243
2010-02-01,Wholesale,South,Espresso,Decaf Espresso,77,449,80,189
2010-02-01,Wholesale,South,Herbal tea,Chamomile,60,329,33,140
2010-02-01,Wholesale,South,Herbal tea,Lemon,52,357,38,128
2010-02-01,Wholesale,South,Coffee,Columbian,213,942,164,465
2010-02-01,Wholesale,South,Coffee,Decaf Irish Cream,83,613,68,190
2010-02-01,Retail,West,Espresso,Caffe Latte,42,771,38,103
2010-02-01,Retail,West,Espresso,Caffe Mocha,49,617,35,112
2010-02-01,Retail,West,Espresso,Decaf Espresso,50,814,48,123
2010-02-01,Retail,West,Herbal tea,Chamomile,41,236,24,101
2010-02-01,Retail,West,Herbal tea,Lemon,45,366,24,114
2010-02-01,Retail,West,Herbal tea,Mint,84,625,-31,102
2010-02-01,Retail,West,Tea,Darjeeling,43,256,-7,104
2010-02-01,Retail,West,Tea,Earl Grey,35,191,9,82
2010-02-01,Retail,West,Tea,Green Tea,30,165,-6,68
2010-02-01,Retail,West,Coffee,Amaretto,75,956,46,165
2010-02-01,Retail,West,Coffee,Columbian,55,305,30,130
2010-02-01,Retail,West,Coffee,Decaf Irish Cream,86,484,41,193
2010-02-01,Wholesale,West,Espresso,Caffe Latte,228,1436,142,457
2010-02-01,Wholesale,West,Espresso,Caffe Mocha,121,712,26,290
2010-02-01,Wholesale,West,Espresso,Decaf Espresso,234,1282,202,545
2010-02-01,Wholesale,West,Herbal tea,Chamomile,95,809,100,232
2010-02-01,Wholesale,West,Herbal tea,Lemon,213,942,164,465
2010-02-01,Wholesale,West,Herbal tea,Mint,83,613,68,190
2010-02-01,Wholesale,West,Tea,Darjeeling,99,766,106,243
2010-02-01,Wholesale,West,Tea,Earl Grey,77,449,80,189
2010-02-01,Wholesale,West,Tea,Green Tea,75,549,58,189
2010-02-01,Wholesale,West,Coffee,Amaretto,104,685,-27,132
2010-02-01,Wholesale,West,Coffee,Columbian,258,2067,245,645
2010-02-01,Wholesale,West,Coffee,Decaf Irish Cream,148,1071,-117,122
2010-02-01,Retail,West,Espresso,Caffe Latte,0,774,31,43
2010-02-01,Retail,West,Espresso,Caffe Mocha,18,818,10,45
2010-02-01,Retail,West,Espresso,Decaf Espresso,19,774,11,47
2010-02-01,Retail,West,Coffee,Decaf Irish Cream,28,961,6,63
2010-02-01,Retail,West,Herbal tea,Chamomile,121,712,26,290
2010-02-01,Retail,West,Herbal tea,Lemon,148,844,115,354
2010-02-01,Retail,West,Herbal tea,Mint,104,596,94,254
2010-02-01,Retail,West,Tea,Darjeeling,234,1282,202,545
2010-02-01,Retail,West,Tea,Earl Grey,228,1436,142,457
2010-02-01,Retail,West,Tea,Green Tea,240,1937,-342,23
2010-02-01,Retail,West,Coffee,Columbian,33,193,-5,74
2010-02-01,Retail,West,Espresso,Caffe Latte,59,331,18,132
2010-02-01,Retail,West,Espresso,Caffe Mocha,60,329,33,140
2010-02-01,Retail,West,Espresso,Decaf Espresso,170,1073,99,340
2010-02-01,Retail,West,Coffee,Decaf Irish Cream,52,357,38,128
2010-02-01,Retail,West,Herbal tea,Chamomile,33,772,28,81
2010-02-01,Retail,West,Herbal tea,Lemon,44,618,30,100
2010-02-01,Retail,West,Tea,Darjeeling,22,452,17,56
2010-02-01,Retail,West,Tea,Earl Grey,80,640,62,200
2010-02-01,Retail,West,Tea,Green Tea,86,490,71,206
2010-02-01,Retail,West,Coffee,Amaretto,54,427,-4,129
2010-02-01,Retail,West,Coffee,Columbian,65,392,25,155
2010-02-01,Retail,West,Espresso,Caffe Latte,48,617,35,110
2010-02-01,Retail,West,Espresso,Caffe Mocha,53,306,12,118
2010-02-01,Retail,West,Espresso,Decaf Espresso,70,957,41,154
2010-02-01,Retail,West,Coffee,Decaf Irish Cream,92,541,15,220
2010-02-01,Retail,West,Herbal tea,Chamomile,130,945,121,325
2010-02-01,Retail,West,Herbal tea,Lemon,38,772,34,94
2010-02-01,Retail,West,Tea,Darjeeling,65,372,66,174
2010-02-01,Retail,West,Tea,Earl Grey,56,382,41,137
2010-02-01,Retail,West,Tea,Green Tea,65,513,3,155
2010-02-01,Retail,West,Coffee,Columbian,58,331,44,142
2010-03-01,Wholesale,Central,Coffee,Amaretto,87,756,90,213
2010-03-01,Wholesale,Central,Coffee,Columbian,84,603,69,193
2010-03-01,Wholesale,Central,Coffee,Decaf Irish Cream,95,799,101,234
2010-03-01,Wholesale,Central,Tea,Green Tea,43,613,29,98
2010-03-01,Wholesale,Central,Espresso,Caffe Mocha,81,441,84,198
2010-03-01,Wholesale,Central,Espresso,Decaf Espresso,72,541,54,180
2010-03-01,Wholesale,Central,Herbal tea,Chamomile,162,1059,94,325
2010-03-01,Wholesale,Central,Herbal tea,Lemon,52,421,-4,125
2010-03-01,Wholesale,Central,Herbal tea,Mint,57,323,31,134
2010-03-01,Wholesale,Central,Tea,Darjeeling,58,325,16,129
2010-03-01,Wholesale,Central,Tea,Earl Grey,62,952,32,135
2010-03-01,Wholesale,Central,Coffee,Columbian,154,829,119,367
2010-03-01,Wholesale,Central,Coffee,Decaf Irish Cream,109,585,102,267
2010-03-01,Wholesale,Central,Espresso,Caffe Mocha,243,1260,211,567
2010-03-01,Wholesale,Central,Espresso,Decaf Espresso,239,1417,148,478
2010-03-01,Wholesale,Central,Herbal tea,Chamomile,87,756,91,213
2010-03-01,Wholesale,Central,Herbal tea,Lemon,84,603,70,193
2010-03-01,Wholesale,Central,Herbal tea,Mint,95,799,102,234
2010-03-01,Wholesale,Central,Tea,Darjeeling,81,441,84,198
2010-03-01,Wholesale,Central,Tea,Earl Grey,72,541,53,180
2010-03-01,Retail,Central,Coffee,Amaretto,18,816,10,45
2010-03-01,Retail,Central,Coffee,Columbian,28,958,6,63
2010-03-01,Retail,Central,Coffee,Decaf Irish Cream,23,617,12,54
2010-03-01,Retail,Central,Espresso,Caffe Mocha,16,772,9,41
2010-03-01,Retail,Central,Espresso,Decaf Espresso,0,731,32,43
2010-03-01,Retail,Central,Herbal tea,Chamomile,243,1260,212,567
2010-03-01,Retail,Central,Herbal tea,Lemon,109,585,102,267
2010-03-01,Retail,Central,Tea,Darjeeling,239,1417,148,478
2010-03-01,Retail,Central,Tea,Earl Grey,245,1369,175,546
2010-03-01,Retail,Central,Coffee,Columbian,85,476,39,189
2010-03-01,Retail,Central,Coffee,Decaf Irish Cream,74,949,45,163
2010-03-01,Retail,Central,Tea,Green Tea,33,190,-4,75
2010-03-01,Retail,Central,Espresso,Caffe Mocha,49,809,47,121
2010-03-01,Retail,Central,Espresso,Decaf Espresso,48,766,45,118
2010-03-01,Retail,Central,Herbal tea,Chamomile,44,251,-6,107
2010-03-01,Retail,Central,Herbal tea,Lemon,88,715,-32,106
2010-03-01,Retail,Central,Tea,Darjeeling,36,187,11,85
2010-03-01,Retail,Central,Tea,Earl Grey,33,162,-3,75
2010-03-01,Wholesale,Central,Coffee,Amaretto,57,323,32,134
2010-03-01,Wholesale,Central,Coffee,Columbian,49,351,35,121
2010-03-01,Wholesale,Central,Coffee,Decaf Irish Cream,52,421,-4,125
2010-03-01,Wholesale,Central,Tea,Darjeeling,84,632,68,210
2010-03-01,Wholesale,Central,Tea,Earl Grey,89,481,74,214
2010-03-01,Wholesale,Central,Espresso,Decaf Espresso,58,325,15,129
2010-03-01,Wholesale,Central,Espresso,Caffe Mocha,162,1059,94,325
2010-03-01,Wholesale,Central,Herbal tea,Chamomile,21,449,15,53
