order_date,market,region,product_category,product,estimated_cost,estimated_gross_profit,estimated_net_profit,estimated_sales,cost,inventory,gross_profit,net_profit,sales
2010-01-01,Retail,East,Espresso,Caffe Mocha,70,100,20,170,75,522,105,7,180
2010-01-01,Retail,East,Coffee,Columbian,110,180,130,290,124,961,186,115,310
2010-01-01,Retail,East,Herbal tea,Lemon,60,80,40,140,85,494,105,40,190
2010-01-01,Retail,East,Herbal tea,Mint,50,80,50,130,78,965,92,47,170
2010-01-01,Wholesale,East,Tea,Darjeeling,30,50,40,80,32,821,48,28,80
2010-01-01,Wholesale,East,Tea,Green Tea,30,50,40,80,33,777,48,28,81
2010-01-01,Wholesale,East,Espresso,Decaf Espresso,70,100,60,170,77,432,103,50,180
2010-01-01,Wholesale,East,Espresso,Caffe Mocha,70,110,30,180,79,551,111,9,190
2010-01-01,Wholesale,East,Coffee,Decaf Irish Cream,80,110,70,190,84,500,116,67,200
2010-01-01,Wholesale,East,Coffee,Columbian,80,110,70,190,84,651,126,68,210
2010-01-01,Wholesale,East,Herbal tea,Chamomile,30,50,30,80,48,623,62,34,110
2010-01-01,Wholesale,East,Herbal tea,Lemon,40,50,20,90,54,312,66,13,120
2010-01-01,Wholesale,East,Herbal tea,Mint,50,60,40,110,69,965,81,39,150
2010-01-01,Wholesale,East,Tea,Darjeeling,30,50,40,80,32,821,48,29,80
2010-01-01,Wholesale,East,Tea,Green Tea,30,50,40,80,32,456,48,29,80
2010-01-01,Wholesale,East,Espresso,Regular Espresso,160,170,110,330,170,1091,171,100,341
2010-01-01,Wholesale,East,Espresso,Caffe Mocha,60,60,-10,120,63,435,63,-23,126
2010-01-01,Wholesale,East,Coffee,Columbian,60,400,360,460,72,558,422,367,494
2010-01-01,Wholesale,East,Herbal tea,Lemon,40,60,30,100,58,338,72,17,130
2010-01-01,Retail,East,Tea,Darjeeling,10,30,20,40,18,821,27,10,45
2010-01-01,Retail,East,Tea,Green Tea,10,30,20,40,17,777,26,11,43
2010-01-01,Retail,East,Espresso,Regular Espresso,20,40,0,60,29,169,36,-8,65
2010-01-01,Retail,East,Espresso,Caffe Mocha,30,50,0,80,37,261,53,-10,90
2010-01-01,Retail,East,Coffee,Amaretto,30,50,30,80,38,241,55,20,93
2010-01-01,Retail,East,Coffee,Columbian,40,70,40,110,48,372,72,25,120
2010-01-01,Retail,East,Herbal tea,Lemon,20,30,0,50,34,197,42,-4,76
2010-01-01,Wholesale,East,Tea,Darjeeling,100,150,120,250,95,821,139,101,234
2010-01-01,Wholesale,East,Tea,Earl Grey,90,140,110,230,89,777,130,94,219
2010-01-01,Wholesale,East,Tea,Green Tea,50,90,70,140,54,456,80,54,134
2010-01-01,Wholesale,East,Espresso,Regular Espresso,210,270,200,480,228,1459,262,175,490
2010-01-01,Wholesale,East,Espresso,Caffe Mocha,100,-50,-170,50,105,725,-44,-172,61
2010-01-01,Wholesale,East,Coffee,Columbian,260,380,260,640,271,2101,407,262,678
2010-01-01,Wholesale,East,Herbal tea,Lemon,180,190,100,370,245,1419,238,111,483
2010-01-01,Wholesale,East,Herbal tea,Mint,150,-10,-70,140,207,965,-27,-113,180
2010-01-01,Retail,South,Espresso,Caffe Mocha,50,100,80,150,67,400,113,70,180
2010-01-01,Retail,South,Espresso,Decaf Espresso,50,70,50,120,61,390,89,48,150
2010-01-01,Retail,South,Herbal tea,Chamomile,40,60,40,100,49,623,63,35,112
2010-01-01,Retail,South,Herbal tea,Lemon,80,100,40,180,85,494,105,40,190
2010-01-01,Retail,South,Espresso,Caffe Latte,60,90,10,150,75,522,105,8,180
2010-01-01,Retail,South,Coffee,Columbian,40,60,50,100,34,777,51,30,85
2010-01-01,Retail,South,Coffee,Decaf Irish Cream,40,60,50,100,33,777,48,28,81
2010-01-01,Retail,South,Espresso,Caffe Mocha,30,40,-10,70,37,261,53,-10,90
2010-01-01,Retail,South,Espresso,Decaf Espresso,30,40,10,70,35,196,47,9,82
2010-01-01,Retail,South,Herbal tea,Chamomile,10,30,20,40,18,821,27,11,45
2010-01-01,Retail,South,Herbal tea,Lemon,20,40,20,60,28,965,34,4,62
2010-01-01,Retail,South,Espresso,Caffe Latte,20,30,0,50,29,169,36,-8,65
2010-01-01,Retail,South,Coffee,Columbian,60,90,50,150,48,372,72,26,120
2010-01-01,Retail,South,Coffee,Decaf Irish Cream,110,10,-30,120,88,525,11,-39,99
2010-01-01,Retail,South,Espresso,Caffe Mocha,20,40,40,60,32,456,48,28,80
2010-01-01,Retail,South,Espresso,Decaf Espresso,70,110,70,180,84,651,126,67,210
2010-01-01,Retail,South,Herbal tea,Chamomile,50,60,20,110,54,312,66,13,120
2010-01-01,Retail,South,Herbal tea,Lemon,70,110,30,180,79,551,111,10,190
2010-01-01,Retail,South,Espresso,Caffe Latte,70,100,70,170,84,500,116,66,200
2010-01-01,Retail,South,Coffee,Columbian,50,70,50,120,44,623,56,29,100
2010-01-01,Retail,South,Coffee,Decaf Irish Cream,40,60,50,100,32,821,48,28,80
2010-01-01,Wholesale,South,Espresso,Caffe Mocha,70,110,90,180,89,777,130,95,219
2010-01-01,Wholesale,South,Espresso,Decaf Espresso,40,70,60,110,54,456,80,54,134
2010-01-01,Wholesale,South,Herbal tea,Chamomile,50,80,50,130,60,336,80,33,140
2010-01-01,Wholesale,South,Herbal tea,Lemon,50,80,50,130,57,364,83,42,140
2010-01-01,Wholesale,South,Espresso,Caffe Latte,60,90,50,150,72,558,108,53,180
2010-01-01,Wholesale,South,Coffee,Columbian,260,300,220,560,207,965,245,159,452
2010-01-01,Wholesale,South,Coffee,Decaf Irish Cream,100,130,100,230,83,623,107,68,190
2010-01-01,Retail,West,Espresso,Caffe Latte,40,60,40,100,46,777,68,44,114
2010-01-01,Retail,West,Espresso,Caffe Mocha,40,60,40,100,49,623,63,34,112
2010-01-01,Retail,West,Espresso,Decaf Espresso,40,70,50,110,50,821,73,47,123
2010-01-01,Retail,West,Herbal tea,Chamomile,30,50,30,80,38,241,55,21,93
2010-01-01,Retail,West,Herbal tea,Lemon,40,60,30,100,48,372,72,25,120
2010-01-01,Retail,West,Herbal tea,Mint,70,10,-30,80,88,525,11,-40,99
2010-01-01,Retail,West,Tea,Darjeeling,20,40,0,60,37,261,53,-10,90
2010-01-01,Retail,West,Tea,Earl Grey,20,30,10,50,35,196,47,9,82
2010-01-01,Retail,West,Tea,Green Tea,10,30,10,40,29,169,36,-9,65
2010-01-01,Retail,West,Coffee,Amaretto,90,120,80,210,78,965,92,47,170
2010-01-01,Retail,West,Coffee,Columbian,60,100,70,160,55,312,75,30,130
2010-01-01,Retail,West,Coffee,Decaf Irish Cream,100,130,70,230,85,494,105,39,190
2010-01-01,Wholesale,West,Espresso,Caffe Latte,210,220,150,430,228,1459,228,140,456
2010-01-01,Wholesale,West,Espresso,Caffe Mocha,100,140,20,240,105,725,145,17,250
2010-01-01,Wholesale,West,Espresso,Decaf Espresso,220,300,200,520,234,1310,312,203,546
2010-01-01,Wholesale,West,Herbal tea,Chamomile,80,120,100,200,95,821,139,102,234
2010-01-01,Wholesale,West,Herbal tea,Lemon,170,220,160,390,207,965,245,160,452
2010-01-01,Wholesale,West,Herbal tea,Mint,70,90,60,160,83,623,107,67,190
2010-01-01,Wholesale,West,Tea,Darjeeling,50,90,80,140,89,777,130,94,219
2010-01-01,Wholesale,West,Tea,Earl Grey,30,60,60,90,54,456,80,54,134
2010-01-01,Wholesale,West,Tea,Green Tea,40,80,50,120,72,558,108,54,180
2010-01-01,Wholesale,West,Coffee,Amaretto,110,70,30,180,95,608,50,-2,145
2010-01-01,Wholesale,West,Coffee,Columbian,340,500,370,840,271,2101,407,262,678
2010-01-01,Wholesale,West,Coffee,Decaf Irish Cream,180,-40,-120,140,144,862,-26,-117,118
2010-01-01,Retail,West,Espresso,Caffe Latte,10,30,20,40,17,777,26,11,43
2010-01-01,Retail,West,Espresso,Caffe Mocha,10,30,20,40,18,821,27,10,45
2010-01-01,Retail,West,Espresso,Decaf Espresso,10,30,20,40,17,777,26,11,43
2010-01-01,Retail,West,Coffee,Decaf Irish Cream,30,40,20,70,28,965,34,4,62
2010-01-01,Retail,West,Herbal tea,Chamomile,90,130,30,220,105,725,145,16,250
2010-01-01,Retail,West,Herbal tea,Lemon,120,180,120,300,144,862,201,111,345
2010-01-01,Retail,West,Herbal tea,Mint,80,120,90,200,95,608,139,86,234
2010-01-01,Retail,West,Tea,Darjeeling,150,220,150,370,234,1310,312,203,546
2010-01-01,Retail,West,Tea,Earl Grey,150,160,100,310,228,1459,228,141,456
2010-01-01,Retail,West,Tea,Green Tea,160,-160,-240,0,245,1419,-245,-354,17
2010-01-01,Retail,West,Coffee,Columbian,40,50,10,90,34,197,42,-3,76
2010-01-01,Retail,West,Espresso,Caffe Latte,50,70,20,120,58,338,72,16,130
2010-01-01,Retail,West,Espresso,Caffe Mocha,50,80,50,130,60,336,80,33,140
2010-01-01,Retail,West,Espresso,Decaf Espresso,160,160,100,320,170,1091,171,99,341
2010-01-01,Retail,West,Coffee,Decaf Irish Cream,70,100,70,170,57,364,83,42,140
2010-01-01,Retail,West,Herbal tea,Chamomile,30,40,40,70,36,777,54,33,90
2010-01-01,Retail,West,Herbal tea,Lemon,30,50,30,80,44,623,56,29,100
2010-01-01,Retail,West,Tea,Darjeeling,20,30,30,50,32,456,48,28,80
2010-01-01,Retail,West,Tea,Earl Grey,50,90,60,140,84,651,126,68,210
2010-01-01,Retail,West,Tea,Green Tea,50,80,50,130,84,500,116,67,200
2010-01-01,Retail,West,Coffee,Amaretto,70,110,40,180,63,435,87,1,150
2010-01-01,Retail,West,Coffee,Columbian,80,120,60,200,67,400,93,28,160
2010-01-01,Retail,West,Espresso,Caffe Latte,40,60,40,100,48,623,62,35,110
2010-01-01,Retail,West,Espresso,Caffe Mocha,50,60,20,110,54,312,66,13,120
2010-01-01,Retail,West,Espresso,Decaf Espresso,60,80,60,140,69,965,81,39,150
2010-01-01,Retail,West,Coffee,Decaf Irish Cream,90,140,60,230,79,551,111,9,190
2010-01-01,Retail,West,Herbal tea,Chamomile,100,170,120,270,124,961,186,115,310
2010-01-01,Retail,West,Herbal tea,Lemon,20,50,50,70,34,777,51,30,85
2010-01-01,Retail,West,Tea,Darjeeling,40,80,50,120,67,400,113,70,180
2010-01-01,Retail,West,Tea,Earl Grey,40,60,40,100,61,390,89,48,150
2010-01-01,Retail,West,Tea,Green Tea,40,80,20,120,75,522,105,8,180
2010-01-01,Retail,West,Coffee,Columbian,60,100,70,160,53,338,77,38,130
2010-02-01,Wholesale,Central,Coffee,Amaretto,100,150,120,250,99,766,144,105,243
2010-02-01,Wholesale,Central,Coffee,Columbian,80,110,80,190,83,613,107,68,190
2010-02-01,Wholesale,Central,Coffee,Decaf Irish Cream,100,140,110,240,95,809,137,99,232
2010-02-01,Wholesale,Central,Tea,Green Tea,30,50,30,80,44,618,56,30,100
2010-02-01,Wholesale,Central,Espresso,Caffe Mocha,80,140,110,220,77,449,112,80,189
2010-02-01,Wholesale,Central,Espresso,Decaf Espresso,80,140,90,220,75,549,114,59,189
2010-02-01,Wholesale,Central,Herbal tea,Chamomile,140,150,100,290,170,1073,170,99,340
2010-02-01,Wholesale,Central,Herbal tea,Lemon,40,70,10,110,54,427,75,-3,129
2010-02-01,Wholesale,Central,Herbal tea,Mint,50,70,40,120,60,329,80,33,140
2010-02-01,Wholesale,Central,Tea,Darjeeling,50,60,10,110,59,331,73,18,132
2010-02-01,Wholesale,Central,Tea,Earl Grey,50,60,30,110,62,958,74,34,136
2010-02-01,Wholesale,Central,Coffee,Columbian,150,220,140,370,148,844,206,115,354
2010-02-01,Wholesale,Central,Coffee,Decaf Irish Cream,110,150,100,260,104,596,150,95,254
2010-02-01,Wholesale,Central,Espresso,Caffe Mocha,270,370,260,640,234,1282,311,201,545
2010-02-01,Wholesale,Central,Espresso,Decaf Espresso,260,270,180,530,228,1436,229,142,457
2010-02-01,Wholesale,Central,Herbal tea,Chamomile,80,130,110,210,99,766,144,105,243
2010-02-01,Wholesale,Central,Herbal tea,Lemon,70,90,60,160,83,613,107,68,190
2010-02-01,Wholesale,Central,Herbal tea,Mint,80,120,100,200,95,809,137,99,232
2010-02-01,Wholesale,Central,Tea,Darjeeling,60,100,80,160,77,449,112,79,189
2010-02-01,Wholesale,Central,Tea,Earl Grey,60,100,50,160,75,549,114,59,189
2010-02-01,Retail,Central,Coffee,Amaretto,10,30,20,40,18,818,27,10,45
2010-02-01,Retail,Central,Coffee,Columbian,20,40,20,60,28,961,35,6,63
2010-02-01,Retail,Central,Coffee,Decaf Irish Cream,20,30,20,50,23,620,31,12,54
2010-02-01,Retail,Central,Espresso,Caffe Mocha,20,30,20,50,19,774,28,11,47
2010-02-01,Retail,Central,Espresso,Decaf Espresso,0,50,40,50,0,774,43,32,43
2010-02-01,Retail,Central,Herbal tea,Chamomile,200,270,190,470,234,1282,311,201,545
2010-02-01,Retail,Central,Herbal tea,Lemon,80,140,110,220,104,596,150,95,254
2010-02-01,Retail,Central,Tea,Darjeeling,190,210,140,400,228,1436,229,141,457
2010-02-01,Retail,Central,Tea,Earl Grey,200,260,150,460,240,1391,294,169,534
2010-02-01,Retail,Central,Coffee,Columbian,90,110,50,200,86,484,107,42,193
2010-02-01,Retail,Central,Coffee,Decaf Irish Cream,70,100,60,170,75,956,90,46,165
2010-02-01,Retail,Central,Tea,Green Tea,20,40,0,60,33,193,41,-4,74
2010-02-01,Retail,Central,Espresso,Caffe Mocha,50,90,70,140,50,814,73,48,123
2010-02-01,Retail,Central,Espresso,Decaf Espresso,40,80,60,120,42,771,61,38,103
2010-02-01,Retail,Central,Herbal tea,Chamomile,30,60,10,90,43,256,61,-8,104
2010-02-01,Retail,Central,Herbal tea,Lemon,70,10,-20,80,84,625,18,-32,102
2010-02-01,Retail,Central,Tea,Darjeeling,30,40,10,70,35,191,47,9,82
2010-02-01,Retail,Central,Tea,Earl Grey,20,30,-10,50,30,165,38,-7,68
2010-02-01,Wholesale,Central,Coffee,Amaretto,60,80,50,140,60,329,80,33,140
2010-02-01,Wholesale,Central,Coffee,Columbian,50,80,50,130,52,357,76,38,128
2010-02-01,Wholesale,Central,Coffee,Decaf Irish Cream,50,80,20,130,54,427,75,-3,129
2010-02-01,Wholesale,Central,Tea,Darjeeling,60,110,60,170,80,640,120,62,200
2010-02-01,Wholesale,Central,Tea,Earl Grey,70,110,70,180,86,490,120,71,206
2010-02-01,Wholesale,Central,Espresso,Decaf Espresso,60,90,40,150,59,331,73,18,132
2010-02-01,Wholesale,Central,Espresso,Caffe Mocha,190,210,140,400,170,1073,170,98,340
2010-02-01,Wholesale,Central,Herbal tea,Chamomile,10,30,30,40,22,452,34,17,56
2010-02-01,Wholesale,Central,Herbal tea,Lemon,20,50,50,70,32,817,48,28,80
2010-02-01,Retail,Central,Coffee,Amaretto,50,70,30,120,53,306,65,12,118
2010-02-01,Retail,Central,Coffee,Columbian,90,140,40,230,92,541,128,15,220
2010-02-01,Retail,Central,Coffee,Decaf Irish Cream,80,100,60,180,77,423,103,50,180
2010-02-01,Retail,Central,Tea,Darjeeling,40,80,50,120,56,382,81,41,137
2010-02-01,Retail,Central,Tea,Earl Grey,50,80,10,130,65,513,90,3,155
2010-02-01,Retail,Central,Espresso,Decaf Espresso,50,70,50,120,48,617,62,35,110
2010-02-01,Retail,Central,Espresso,Caffe Mocha,80,100,60,180,70,957,84,42,154
2010-02-01,Retail,Central,Herbal tea,Chamomile,50,100,80,150,65,372,109,66,174
2010-02-01,Retail,Central,Herbal tea,Lemon,40,60,50,100,47,772,68,43,115
2010-02-01,Retail,East,Tea,Darjeeling,50,80,60,130,50,814,73,48,123
2010-02-01,Retail,East,Tea,Green Tea,20,50,40,70,27,772,39,21,66
2010-02-01,Retail,East,Espresso,Decaf Espresso,50,70,40,120,55,305,75,29,130
2010-02-01,Retail,East,Espresso,Caffe Mocha,60,90,20,150,65,513,90,3,155
2010-02-01,Retail,East,Coffee,Columbian,120,180,130,300,130,945,195,121,325
2010-02-01,Retail,East,Herbal tea,Lemon,60,90,50,150,86,484,107,41,193
2010-02-01,Retail,East,Herbal tea,Mint,50,70,50,120,75,956,90,46,165
2010-02-01,Wholesale,East,Tea,Darjeeling,30,50,40,80,32,817,48,28,80
2010-02-01,Wholesale,East,Tea,Green Tea,40,80,60,120,47,772,68,44,115
2010-02-01,Wholesale,East,Espresso,Decaf Espresso,70,100,60,170,77,423,103,51,180
2010-02-01,Wholesale,East,Espresso,Caffe Mocha,80,130,40,210,92,541,128,16,220
2010-02-01,Wholesale,East,Coffee,Decaf Irish Cream,80,110,70,190,86,490,120,71,206
2010-02-01,Wholesale,East,Coffee,Columbian,70,120,80,190,80,640,120,63,200
2010-02-01,Wholesale,East,Herbal tea,Chamomile,30,50,30,80,48,617,62,34,110
2010-02-01,Wholesale,East,Herbal tea,Lemon,40,50,20,90,53,306,65,12,118
2010-02-01,Wholesale,East,Herbal tea,Mint,50,70,50,120,70,957,84,42,154
2010-02-01,Wholesale,East,Tea,Darjeeling,30,50,40,80,32,817,48,28,80
2010-02-01,Wholesale,East,Tea,Green Tea,20,40,30,60,22,452,34,17,56
2010-02-01,Wholesale,East,Espresso,Regular Espresso,160,170,110,330,170,1073,170,99,340
2010-02-01,Wholesale,East,Espresso,Caffe Mocha,50,70,10,120,54,451,74,-4,128
2010-02-01,Wholesale,East,Coffee,Columbian,70,370,330,440,75,235,395,340,470
2010-02-01,Wholesale,East,Herbal tea,Lemon,40,60,30,100,59,331,73,18,132
2010-02-01,Retail,East,Tea,Darjeeling,10,30,20,40,18,818,27,11,45
2010-02-01,Retail,East,Tea,Green Tea,0,40,30,40,0,774,43,32,43
2010-02-01,Retail,East,Espresso,Regular Espresso,20,40,0,60,30,165,38,-6,68
2010-02-01,Retail,East,Espresso,Caffe Mocha,40,60,10,100,43,256,61,-7,104
2010-02-01,Retail,East,Coffee,Amaretto,30,60,40,90,41,236,60,25,101
2010-02-01,Retail,East,Coffee,Columbian,40,60,30,100,45,366,69,23,114
2010-02-01,Retail,East,Herbal tea,Lemon,20,30,0,50,33,193,41,-4,74
2010-02-01,Wholesale,East,Tea,Darjeeling,100,150,120,250,95,809,137,100,232
2010-02-01,Wholesale,East,Tea,Earl Grey,100,160,130,260,99,766,144,105,243
2010-02-01,Wholesale,East,Tea,Green Tea,80,120,90,200,77,449,112,79,189
2010-02-01,Wholesale,East,Espresso,Regular Espresso,210,350,280,560,228,1402,352,264,580
2010-02-01,Wholesale,East,Espresso,Caffe Mocha,110,-60,-190,50,121,901,-60,-203,61
2010-02-01,Wholesale,East,Coffee,Columbian,240,370,250,610,258,2067,387,245,645
2010-02-01,Wholesale,East,Herbal tea,Lemon,180,200,110,380,240,1454,255,131,495
2010-02-01,Wholesale,East,Herbal tea,Mint,160,-20,-80,140,213,1214,-33,-120,180
2010-02-01,Retail,South,Espresso,Caffe Mocha,50,90,70,140,65,372,109,65,174
2010-02-01,Retail,South,Espresso,Decaf Espresso,40,70,50,110,56,382,81,41,137
2010-02-01,Retail,South,Herbal tea,Chamomile,40,60,40,100,49,617,63,35,112
2010-02-01,Retail,South,Herbal tea,Lemon,80,100,40,180,86,484,107,42,193
2010-02-01,Retail,South,Espresso,Caffe Latte,50,80,10,130,65,342,90,2,155
2010-02-01,Retail,South,Coffee,Columbian,40,70,60,110,38,772,56,34,94
2010-02-01,Retail,South,Coffee,Decaf Irish Cream,50,90,70,140,47,772,68,44,115
2010-02-01,Retail,South,Espresso,Caffe Mocha,30,50,0,80,43,256,61,-7,104
2010-02-01,Retail,South,Espresso,Decaf Espresso,30,40,10,70,35,191,47,8,82
2010-02-01,Retail,South,Herbal tea,Chamomile,10,30,20,40,18,818,27,10,45
2010-02-01,Retail,South,Herbal tea,Lemon,20,40,20,60,28,961,35,5,63
2010-02-01,Retail,South,Espresso,Caffe Latte,20,30,0,50,30,104,38,-7,68
2010-02-01,Retail,South,Coffee,Columbian,50,90,50,140,45,366,69,24,114
2010-02-01,Retail,South,Coffee,Decaf Irish Cream,100,20,-20,120,84,625,18,-31,102
2010-02-01,Retail,South,Espresso,Caffe Latte,70,100,70,170,86,300,120,70,206
2010-02-01,Retail,South,Espresso,Caffe Mocha,10,30,30,40,22,452,34,17,56
2010-02-01,Retail,South,Espresso,Decaf Espresso,60,110,70,170,80,640,120,63,200
2010-02-01,Retail,South,Herbal tea,Chamomile,50,60,20,110,53,306,65,11,118
2010-02-01,Retail,South,Herbal tea,Lemon,80,130,40,210,92,541,128,15,220
2010-02-01,Retail,South,Coffee,Columbian,50,70,50,120,44,618,56,29,100
2010-02-01,Retail,South,Coffee,Decaf Irish Cream,40,60,50,100,32,817,48,29,80
2010-02-01,Wholesale,South,Espresso,Caffe Latte,60,100,60,160,75,378,114,58,189
2010-02-01,Wholesale,South,Espresso,Caffe Mocha,80,120,100,200,99,766,144,106,243
2010-02-01,Wholesale,South,Espresso,Decaf Espresso,60,100,90,160,77,449,112,80,189
2010-02-01,Wholesale,South,Herbal tea,Chamomile,50,80,50,130,60,329,80,33,140
2010-02-01,Wholesale,South,Herbal tea,Lemon,40,80,50,120,52,357,76,38,128
2010-02-01,Wholesale,South,Coffee,Columbian,260,320,240,580,213,942,252,164,465
2010-02-01,Wholesale,South,Coffee,Decaf Irish Cream,100,130,100,230,83,613,107,68,190
2010-02-01,Retail,West,Espresso,Caffe Latte,40,50,30,90,42,771,61,38,103
2010-02-01,Retail,West,Espresso,Caffe Mocha,40,60,40,100,49,617,63,35,112
2010-02-01,Retail,West,Espresso,Decaf Espresso,40,70,50,110,50,814,73,48,123
2010-02-01,Retail,West,Herbal tea,Chamomile,30,50,30,80,41,236,60,24,101
2010-02-01,Retail,West,Herbal tea,Lemon,30,70,40,100,45,366,69,24,114
2010-02-01,Retail,West,Herbal tea,Mint,70,10,-30,80,84,625,18,-31,102
2010-02-01,Retail,West,Tea,Darjeeling,20,50,10,70,43,256,61,-7,104
2010-02-01,Retail,West,Tea,Earl Grey,20,30,10,50,35,191,47,9,82
2010-02-01,Retail,West,Tea,Green Tea,10,30,10,40,30,165,38,-6,68
2010-02-01,Retail,West,Coffee,Amaretto,90,110,70,200,75,956,90,46,165
2010-02-01,Retail,West,Coffee,Columbian,60,100,70,160,55,305,75,30,130
